setup,feature,En vs. Ir,En vs. Sc,Ir vs. Sc,3-way
French Translations,PoS n-grams,0.89,0.85,0.82,0.77
French Translations,selected_pos_ngrams_fr,0.78,0.74,0.75,0.66
French Translations,Word n-grams,1.0,0.95,0.99,0.94
French Translations,function_words_fr,0.81,0.87,0.82,0.73
French Translations,pronouns_fr,0.81,0.83,0.72,0.68
French MT,PoS n-grams,0.96,0.9,0.86,0.83
French MT,selected_pos_ngrams_fr,0.79,0.74,0.79,0.67
French MT,Word n-grams,1.0,0.95,0.99,0.94
French MT,function_words_fr,0.87,0.83,0.8,0.72
French MT,pronouns_fr,0.86,0.85,0.72,0.68
